decision_date,positions,turnover,n_pos,ret_excess,ret_excess_net
2023-01-06,8,0.25,8,0.015577386674347007,0.015077386674347007
2023-01-13,8,0.25,8,0.019369145117076367,0.018869145117076366
2023-01-20,8,0.25,8,0.020334848295880434,0.019834848295880433
2023-01-27,8,1.25,8,0.01304734767827212,0.01254734767827212
2023-02-03,8,0.5,8,0.000925734721003324,0.00042573472100332365
2023-02-10,8,0.5,8,0.003352321938395908,0.0028523219383959075
2023-02-17,8,0.75,8,0.0038589439972906148,0.0033589439972906143
2023-02-24,8,0.5,8,0.003947241406171337,0.0034472414061713363
2023-03-03,8,0.75,8,0.0007224394507939769,0.00022243945079397675
2023-03-10,8,0.25,8,0.0006743136945256967,0.00017431369452569634
2023-03-17,8,0.25,8,0.004471438909534942,0.003971438909534941
2023-03-24,8,0.25,8,0.0011645687679663064,0.0006645687679663059
2023-03-31,8,0.0,8,-0.0015689540875821473,-0.0020689540875821477
2023-04-21,8,0.75,8,0.011893136033873375,0.011393136033873374
2023-04-28,8,0.5,8,0.0088793086283451,0.0083793086283451
2023-05-05,8,0.25,8,0.01567805097180558,0.015178050971805579
2023-05-12,8,0.75,8,0.012739097350197959,0.012239097350197958
2023-05-19,8,0.25,8,0.00943276339747301,0.00893276339747301
2023-05-26,8,0.25,8,0.02059046547085361,0.020090465470853608
2023-06-02,8,0.5,8,0.023373902263764262,0.022873902263764262
2023-06-09,8,0.5,8,0.023627860352531116,0.023127860352531115
2023-06-16,8,0.5,8,0.018209909754170278,0.017709909754170278
2023-06-23,8,0.25,8,0.01802345330216726,0.017523453302167258
2023-06-30,8,0.75,8,0.02404388736993124,0.023543887369931238
2023-07-07,8,0.25,8,0.01733952811324796,0.01683952811324796
2023-07-14,8,0.75,8,0.01574333118253199,0.015243331182531988
2023-07-21,8,0.75,8,0.020083704927646787,0.019583704927646786
2023-07-28,8,0.75,8,0.017208606542688437,0.016708606542688437
2023-08-04,8,0.5,8,0.017240251862932626,0.016740251862932626
2023-08-11,8,0.75,8,0.018634027072076065,0.018134027072076064
2023-08-18,8,0.0,8,0.015057019669973137,0.014557019669973137
2023-08-25,8,0.25,8,0.009183168785609486,0.008683168785609485
2023-09-01,8,0.25,8,-0.002821602942941287,-0.0033216029429412874
2023-09-08,8,0.25,8,-0.0008198168606213807,-0.0013198168606213811
2023-09-15,8,0.5,8,-0.0027350351050360044,-0.003235035105036005
2023-09-22,8,0.25,8,-0.005202179521963141,-0.005702179521963141
2023-09-29,8,0.25,8,-0.005041420883416414,-0.005541420883416415
2023-10-06,8,0.25,8,-0.001165024660503139,-0.0016650246605031394
2023-10-13,8,0.25,8,-0.010319561047007875,-0.010819561047007875
