decision_date,n_pos,ret_excess,ret_excess_net,turnover,hits,equity
2018-10-26,8,-0.0029367344598416334,-0.003436734459841634,0.5,3,1.0229414051074301
2018-11-02,8,0.00792526154301293,0.007425261543012929,0.25,6,1.03053701258353
2018-11-09,8,0.00837184219315798,0.00787184219315798,0.25,6,1.038649237320796
2018-11-16,8,0.004882494493710976,0.0043824944937109755,0.5,5,1.0432011118842515
2018-11-30,8,0.0019554911432503735,0.001455491143250373,0.25,6,1.044719481863228
2018-12-07,8,0.00017632566575098707,-0.0003236743342490134,1.25,6,1.044381332980459
2018-12-14,8,-0.0031979051894355792,-0.0036979051894355797,0.75,3,1.040519309829481
2018-12-21,8,-0.004728839983418748,-0.005228839983418748,0.5,3,1.0350786008587254
2018-12-28,8,0.0059595371839294975,0.005459537183929497,0.75,6,1.0407296509684032
2019-01-04,8,-7.993320486968103e-05,-0.0005799332048696815,0.75,4,1.040126097286514
2019-01-11,8,-0.005104518768709931,-0.005604518768709932,0.5,4,1.0342966910524467
2019-01-18,8,-0.005006223165007095,-0.005506223165007096,0.75,3,1.0286016226526835
2019-01-25,8,0.0007952597898022162,0.0002952597898022158,0.5,4,1.0289053273515782
2019-02-01,8,0.0036965127360705508,0.0031965127360705503,0.5,7,1.0321942363346683
2019-02-08,8,0.015671713817592997,0.015171713817592997,0.75,6,1.047854391892507
2019-02-15,8,0.013488750230192997,0.012988750230192997,0.75,6,1.0614647108664095
2019-02-22,8,0.031223926627623882,0.030723926627623882,0.25,8,1.094077074760881
2019-03-01,8,-0.0019985849457532234,-0.002498584945753224,0.75,5,1.0913434302523897
2019-03-08,8,0.0023587117227450993,0.0018587117227450989,0.5,5,1.0933719230797407
2019-03-15,8,0.029436030766459148,0.028936030766459148,0.25,7,1.1250097666851588
2019-03-22,8,0.03057746947607612,0.03007746947607612,0.5,8,1.1588472136029193
2019-03-29,8,0.007445089915587191,0.006945089915587191,0.75,4,1.1668955116998192
2019-04-05,8,0.0075374486148247904,0.00703744861482479,0.25,5,1.1751074789022764
2019-04-12,8,0.013554698416346628,0.013054698416346627,0.5,5,1.190448152646139
2019-04-26,8,0.014320988463296741,0.01382098846329674,0.5,7,1.2069013228300143
2019-05-03,8,0.005764672206923907,0.005264672206923907,0.5,5,1.213255262680817
2019-05-10,8,0.031601450927437796,0.031101450927437796,0.25,7,1.2509892616955403
2019-05-17,8,0.026904442545830867,0.026404442545830867,0.0,7,1.2840209357814316
2019-05-24,8,0.02274565701881949,0.02224565701881949,0.25,6,1.3125848251238088
2019-05-31,8,-0.009512393864157712,-0.010012393864157712,0.25,3,1.2994427088745526
2019-06-07,8,0.02391048230244032,0.02341048230244032,0.25,7,1.3298632894136955
2019-06-14,8,-0.005592268650066234,-0.006092268650066235,0.5,2,1.3217614049867266
2019-06-21,8,0.035951121800509744,0.035451121800509744,0.5,8,1.368619329546124
2019-06-28,8,0.00205032212820333,0.0015503221282033297,0.5,6,1.3707411303778063
2019-07-05,8,0.019796393273158436,0.019296393273158435,0.5,6,1.3971914903052702
2019-07-12,8,0.027410640585553148,0.026910640585553147,0.25,7,1.4347908083300687
2019-07-19,8,0.015470553466897519,0.014970553466897518,0.5,4,1.4562704208399873
2019-07-26,8,0.01600461329585004,0.01550461329585004,0.5,6,1.478849330569296
2019-08-02,8,0.009747394367009055,0.009247394367009054,0.25,5,1.4925248335384576
2019-08-09,8,0.015526377724926627,0.015026377724926626,0.25,8,1.5149520754510397
2019-08-16,8,0.008423684913115265,0.007923684913115264,0.25,7,1.5269560783553837
2019-08-23,8,0.0035170467456150933,0.003017046745615093,0.75,5,1.531562976222283
2019-08-30,8,0.009785923256952683,0.009285923256952683,0.5,6,1.5457849524826732
2019-09-06,8,0.013482449143278397,0.012982449143278396,0.5,7,1.5658530270147246
2019-09-13,8,0.0086924981786006,0.008192498178600599,0.25,4,1.578681275086499
2019-09-20,8,-0.002347160646528762,-0.0028471606465287624,0.75,4,1.5741865158866608
2019-09-27,8,0.0017972945231657655,0.001297294523165765,0.5,5,1.576228699432162
2019-10-04,8,0.00199339549842828,0.0014933954984282793,0.5,4,1.5785826322763872
2019-10-11,8,0.0019758610955402656,0.0014758610955402651,0.25,3,1.5809124009694595
2019-10-18,8,0.008237038471076208,0.0077370384710762075,0.5,6,1.5931439810351617
2019-10-25,8,0.008201040141645938,0.007701040141645937,0.25,6,1.6054128467845352
2019-11-01,8,0.017486571581156463,0.016986571581156462,0.5,7,1.6326833070237488
2019-11-08,8,0.02337836282462813,0.02287836282462813,0.25,8,1.6700364280995517
2019-11-15,8,0.018279864161587278,0.017779864161587278,0.75,7,1.699729448936064
2019-11-22,8,0.032629847033924325,0.032129847033924325,0.5,8,1.7543414961294364
2019-11-29,8,-0.007572992667564601,-0.008072992667564602,0.5,3,1.7401787100947792
2019-12-06,8,-0.004660072710721386,-0.005160072710721386,1.0,2,1.7311992614210407
2019-12-13,8,-0.005772348640489353,-0.006272348640489353,0.5,2,1.7203405760872503
2019-12-20,8,-0.03461065581720696,-0.03511065581720696,0.25,1,1.6599382902318753
2019-12-27,8,0.04429277286528424,0.04379277286528424,0.25,7,1.732631590746388
2020-01-03,8,0.05400319645972308,0.05350319645972308,0.25,8,1.8253329191384144
2020-01-10,8,0.01923854283514105,0.01873854283514105,0.5,7,1.8595369982320826
2020-01-17,8,0.03140510612765379,0.030905106127653792,0.75,8,1.9170061865107437
2020-01-24,8,0.03351181113614156,0.03301181113614156,0.75,8,1.9802900326866513
2020-01-31,8,0.003338764618096318,0.0028387646180963177,0.5,5,1.985911609965011
2020-02-07,8,-0.000966415736293566,-0.0014664157362935665,0.25,5,1.9829994379292701
2020-02-14,8,-0.00372435072467156,-0.004224350724671561,0.0,5,1.9746225528166303
2020-02-28,7,-0.02193303660767256,-0.022504465179101128,0.6666666666666666,0,1.9301847283349007
2020-03-06,7,-0.02127652397699725,-0.02184795254842582,0.5714285714285714,1,1.8880141439805436
2020-03-13,1,-0.008275251813973039,-0.01227525181397304,1.5,0,1.8648382949348397
2020-03-27,1,-0.012042155983535086,-0.016042155983535086,0.0,0,1.8349222681234254
2020-04-17,1,-0.031114932358035086,-0.03511493235803509,2.0,0,1.770489096796019
2020-04-24,1,-0.019311183106547114,-0.023311183106547114,0.0,0,1.7292169012724616
2020-05-08,3,-0.01230842644854683,-0.013641759781880165,1.0,0,1.7056273396945354
2020-05-15,3,-0.01668043952164703,-0.01801377285498036,0.0,0,1.6749025562220334
2020-05-22,5,-0.007370328271300775,-0.008170328271300776,0.5,1,1.6612180525152584
2020-05-29,8,-0.010819768101792415,-0.011319768101792416,0.7692307692307693,2,1.6424134493942744
2020-06-05,8,-0.0063592083913001085,-0.006859208391300109,0.0,3,1.631147793280205
2020-06-12,8,-0.007028793962344321,-0.007528793962344321,0.5,1,1.6188672176224657
2020-06-19,8,-0.010156746556179291,-0.010656746556179292,0.5,2,1.6016153599761558
2020-06-26,8,0.0007156280184465735,0.0002156280184465731,0.25,3,1.601960713122541
2020-07-03,8,-0.0015020945820310994,-0.0020020945820311,0.25,3,1.5987534362581717
2020-07-10,8,-0.00342858909298982,-0.00392858909298982,0.5,3,1.5924725909461077
2020-07-17,8,-0.004875734679255922,-0.005375734679255922,0.5,3,1.5839118808131942
2020-07-24,8,-0.007028216206293569,-0.00752821620629357,0.5,3,1.5719878497227155
2020-07-31,8,-0.0019477200941640516,-0.002447720094164052,0.25,4,1.5681400634751674
2020-08-07,8,0.0021491566606297308,0.0016491566606297303,0.25,3,1.570726172105648
2020-08-14,8,-0.002947210050911253,-0.0034472100509112535,0.5,4,1.565311549057936
2020-08-21,7,-0.011398990433127724,-0.011970419004556294,0.4,2,1.5465741139430413
2020-08-28,8,-0.00722595511638352,-0.0077259551163835205,0.6666666666666666,4,1.5346253517545567
