date,usd_inr
2017-08-01,64.1894989
2017-08-02,64.05580139
2017-08-03,63.6405983
2017-08-04,63.6969986
2017-08-07,63.6651001
2017-08-08,63.83010101
2017-08-09,63.70289993
2017-08-10,63.88769913
2017-08-11,64.13860321
2017-08-14,64.08100128
2017-08-15,64.17430115
2017-08-16,64.26300049
2017-08-17,64.16049957
2017-08-18,64.18890381
2017-08-21,64.07589722
2017-08-22,64.15750122
2017-08-23,64.05750275
2017-08-24,64.00499725
2017-08-25,64.03500366
2017-08-28,63.99549866
2017-08-29,63.78929901
2017-08-30,63.98680115
2017-08-31,63.9762001
2017-09-01,63.91189957
2017-09-04,64.01550293
2017-09-05,64.02629852
2017-09-06,64.09999847
2017-09-07,64.01540375
2017-09-08,63.95009995
2017-09-11,63.93099976
2017-09-12,63.97999954
2017-09-13,63.98759842
2017-09-14,64.11509705
2017-09-15,64.15499878
2017-09-18,64.12020111
2017-09-19,64.21469879
2017-09-20,64.29869843
2017-09-21,64.28369904
2017-09-22,64.8022995
2017-09-25,64.89099884
2017-09-26,65.26509857
2017-09-27,65.34999847
2017-09-28,65.52500153
2017-09-29,65.36000061
2017-10-02,65.29329681
2017-10-03,65.57170105
2017-10-04,65.44309998
2017-10-05,65.01950073
2017-10-06,65.20999908
2017-10-09,65.41419983
2017-10-10,65.41459656
2017-10-11,65.23889923
2017-10-12,65.20539856
2017-10-13,65.04599762
2017-10-16,64.67299652
2017-10-17,64.69460297
2017-10-18,64.92870331
2017-10-19,65.0401001
2017-10-20,64.90460205
2017-10-23,65.10410309
2017-10-24,65.03489685
2017-10-25,65.07949829
2017-10-26,64.83999634
2017-10-27,64.59999847
2017-10-30,64.87339783
2017-10-31,64.8423996
2017-11-01,64.67009735
2017-11-02,64.55509949
2017-11-03,64.50050354
2017-11-06,64.69339752
2017-11-07,64.59089661
2017-11-08,65.16449738
2017-11-09,64.91049957
2017-11-10,64.96800232
2017-11-13,65.16030121
2017-11-14,65.43840027
2017-11-15,65.41339874
2017-11-17,65.20999908
2017-11-20,64.90499878
2017-11-21,65.02500153
2017-11-22,64.76129913
2017-11-23,64.76999664
2017-11-24,64.57939911
2017-11-27,64.54499817
2017-11-28,64.43389893
2017-11-29,64.47000122
2017-11-30,64.41480255
2017-12-01,64.49939728
2017-12-04,64.50900269
2017-12-05,64.35140228
2017-12-06,64.35690308
2017-12-07,64.51519775
2017-12-08,64.54239655
2017-12-11,64.47299957
2017-12-12,64.34999847
2017-12-13,64.55000305
2017-12-14,64.31999969
2017-12-15,64.27500153
2017-12-18,64.07230377
2017-12-19,64.20010376
2017-12-20,64.04759979
2017-12-21,63.96500015
2017-12-22,64.00969696
2017-12-25,64.00779724
2017-12-26,64.01049805
2017-12-27,64.02819824
2017-12-28,64.11499786
2017-12-29,64.06199646
2018-01-01,63.84080124
2018-01-02,63.86759949
2018-01-03,63.45999908
2018-01-04,63.41910172
2018-01-05,63.36959839
2018-01-08,63.26499939
2018-01-09,63.45199966
2018-01-10,63.63610077
2018-01-11,63.75999832
2018-01-12,63.67210007
2018-01-15,63.58850098
2018-01-16,63.52119827
2018-01-17,63.99430084
2018-01-18,63.82500076
2018-01-19,63.86759949
2018-01-22,63.83209991
2018-01-23,63.88010025
2018-01-24,63.75049973
2018-01-25,63.57789993
2018-01-26,63.57310104
2018-01-29,63.56999969
2018-01-30,63.66939926
2018-01-31,63.76990128
2018-02-01,63.66500092
2018-02-02,63.97499847
2018-02-05,64.13249969
2018-02-06,64.31469727
2018-02-07,63.97999954
2018-02-08,64.19999695
2018-02-09,64.44049835
2018-02-12,64.21130371
2018-02-13,64.28350067
2018-02-14,64.25009918
2018-02-15,64.02519989
2018-02-16,63.89089966
2018-02-19,64.37999725
2018-02-20,64.50499725
2018-02-21,64.86499786
2018-02-22,64.89499664
2018-02-23,64.95140076
2018-02-26,64.70300293
2018-02-27,64.78040314
2018-02-28,64.91000366
2018-03-01,65.23999786
2018-03-02,65.15000153
2018-03-05,65.18669891
2018-03-06,65.00370026
2018-03-07,64.88999939
2018-03-08,64.8911972
2018-03-09,65.0904007
2018-03-12,64.96489716
2018-03-13,64.94550323
2018-03-14,64.82810211
2018-03-15,64.83679962
2018-03-16,65.01439667
2018-03-19,65.06500244
2018-03-20,65.21009827
2018-03-21,65.23239899
2018-03-22,65.06559753
2018-03-23,65.16000366
2018-03-26,65.01499939
2018-03-27,64.69499969
2018-03-28,64.89550018
2018-03-29,65.14920044
2018-03-30,65.02999878
2018-04-02,65.10549927
2018-04-03,65.13999939
2018-04-04,64.90499878
2018-04-05,64.99500275
2018-04-06,64.8615036
2018-04-09,64.90450287
2018-04-10,64.87000275
2018-04-11,64.9253006
2018-04-12,65.19000244
2018-04-13,65.27570343
2018-04-16,65.19560242
2018-04-17,65.4292984
2018-04-18,65.67500305
2018-04-19,66.01000214
2018-04-20,66.1147995
2018-04-23,66.19689941
2018-04-24,66.54499817
2018-04-25,66.41410065
2018-04-26,66.90769958
2018-04-27,66.90000153
2018-04-30,66.61000061
2018-05-01,66.44999695
2018-05-02,66.78869629
2018-05-03,67.08000183
2018-05-04,66.66000366
2018-05-07,66.8105011
2018-05-08,67.1187973
2018-05-09,67.16249847
2018-05-10,67.62000275
2018-05-11,67.38999939
2018-05-14,67.38220215
2018-05-15,67.6780014
2018-05-16,68.45999908
2018-05-17,68.05999756
2018-05-18,68.13999939
2018-05-21,67.97499847
2018-05-22,68.40000153
2018-05-23,68.43000031
2018-05-24,68.65000153
