date,tri
2019-05-13,11249.84961
2019-05-14,11318
2019-05-15,11253.84961
2019-05-16,11341.59961
2019-05-17,11485.84961
2019-05-20,11903.9502
2019-05-21,11786.2998
2019-05-22,11811.2998
2019-05-23,11745.5
2019-05-24,11944.65039
2019-05-27,12023.75
2019-05-28,12033.09961
2019-05-29,11962.34961
2019-05-30,12038.2002
2019-05-31,12028.25
2019-06-03,12190.84961
2019-06-04,12122.59961
2019-06-06,11932.9502
2019-06-07,11957.0498
2019-06-10,12006.84961
2019-06-11,12053.59961
2019-06-12,11989.2002
2019-06-13,11995.2002
2019-06-14,11899.34961
2019-06-17,11743
2019-06-18,11761.65039
2019-06-19,11753.0498
2019-06-20,11901.15039
2019-06-21,11802.4502
2019-06-24,11782.9502
2019-06-25,11871.90039
2019-06-26,11928.84961
2019-06-27,11931.34961
2019-06-28,11882.09961
2019-07-01,11957.5
2019-07-02,12001.59961
2019-07-03,12015.2002
2019-07-04,12044.7998
2019-07-05,11904.0498
2019-07-08,11650.34961
2019-07-09,11655.84961
2019-07-10,11593.7998
2019-07-11,11678.59961
2019-07-12,11654.84961
2019-07-15,11692.65039
2019-07-16,11773.15039
2019-07-17,11798.4502
2019-07-18,11701.40039
2019-07-19,11519.25
2019-07-22,11456.25
2019-07-23,11436.5498
2019-07-24,11360.15039
2019-07-25,11352.34961
2019-07-26,11394.7002
2019-07-29,11290.90039
2019-07-30,11179.5498
2019-07-31,11221.2002
2019-08-01,11080.90039
2019-08-02,11100.4502
2019-08-05,10970.0498
2019-08-06,11058.90039
2019-08-07,10970.5498
2019-08-08,11144.15039
2019-08-09,11222.2002
2019-08-13,11027.40039
2019-08-14,11133.75
2019-08-16,11154.5498
2019-08-19,11158.9502
2019-08-20,11115.59961
2019-08-21,11012
2019-08-22,10836.84961
2019-08-23,10925.90039
2019-08-26,11152.65039
2019-08-27,11213.7002
2019-08-28,11154.5498
2019-08-29,11069.2998
2019-08-30,11155.09961
2019-09-03,10925.2002
2019-09-04,10964.2998
2019-09-05,10975
2019-09-06,11068.15039
2019-09-09,11122.9502
2019-09-11,11161.65039
2019-09-12,11113.5
2019-09-13,11205.09961
2019-09-16,11139.84961
2019-09-17,10951.5498
2019-09-18,10980.7998
